Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type,Brand
lti compensation,2,2,170,26,0,https://blog.curocomp.com/long-term-incentive-plans,22,2.05,0,0.01,1160000,"[100,81,81,100,81,81,100,81,100,81,100,100]",2021-06-30,"Reviews, People also ask",,Organic,Non-Branded
compensation program,11,54,480,48,3.42,https://blog.curocomp.com/5-compensation-program-considerations-to-pay-attention-to-2021,22,2.05,77,0.37,318000000,"[81,81,81,81,100,81,100,100,100,100,100,100]",2021-06-19,"Sitelinks, Featured snippet, People also ask, FAQ",,Organic,Non-Branded
what is base salary,12,11,1600,82,0,https://payfactors.com/base-salary-vs-total-cash-compensation/,20,0.62,0,0,225000000,"[100,81,81,100,100,100,100,100,100,100,100,100]",2020-01-07,"Knowledge panel, Reviews",,Organic,Non-Branded
long term incentive bonus,1,1,40,24,0,https://blog.curocomp.com/long-term-incentive-plans,18,1.68,0,0,18300000,"[100,40,60,40,40,20,20,20,20,80,20,40]",2021-06-19,"Image pack, Featured snippet, People also ask",,Organic,Non-Branded
ltips,2,2,140,20,1.79,https://blog.curocomp.com/long-term-incentive-plans,18,1.68,32,0.02,47900,"[52,52,52,52,52,67,67,52,67,81,100,100]",2021-06-03,"Knowledge panel, Video, People also ask",,Organic,Non-Branded
vacation all i ever wanted,16,13,3600,73,0,https://payfactors.com/vacations-comp-coffee-ep-29/,18,0.56,0,0,277000000,"[20,20,23,20,23,36,54,44,54,100,54,36]",2020-01-31,"Sitelinks, Reviews, Video, Featured video, Video Carousel",,Organic,Non-Branded
david goggins wife,30,26,12100,77,0,https://payfactors.com/david-goggins-comp-coffee/,18,0.56,0,0,3220000,"[13,16,100,82,45,45,30,30,37,55,67,45]",2020-01-30,"Image pack, Sitelinks, Video, Featured snippet, Video Carousel, People also ask",,Organic,Non-Branded
base salary definition,10,10,590,82,0,https://payfactors.com/base-salary-vs-total-cash-compensation/,17,0.53,0,0.01,54500000,"[54,44,44,67,100,100,82,100,82,100,67,67]",2019-12-29,"Sitelinks, Reviews, Featured snippet",,Organic,Non-Branded
lti stock,7,5,390,37,0,https://blog.curocomp.com/long-term-incentive-plans,15,1.4,0,0,4480000,"[44,44,66,66,54,54,100,66,81,100,100,81]",2021-06-23,"Instant answer, Knowledge panel, Reviews, Video Carousel, People also ask, FAQ",,Organic,Non-Branded
long term incentive plan template,1,7,30,21,2.44,https://blog.curocomp.com/long-term-incentive-plans,14,1.3,34,0.36,225000000,"[33,11,11,11,11,11,100,78,11,11,11,22]",2021-06-22,"Image pack, Video, Featured snippet, People also ask",,Organic,Non-Branded
ltip meaning,2,2,110,22,0,https://blog.curocomp.com/long-term-incentive-plans,14,1.3,0,0.01,186000,"[53,41,41,41,41,53,53,53,65,100,100,82]",2021-06-06,"Knowledge panel, People also ask",,Organic,Non-Branded
tcc compensation,1,4,30,64,0,https://payfactors.com/base-salary-vs-total-cash-compensation/,14,0.43,0,0,671000,"[100,20,20,20,20,20,20,20,20,20,40,20]",2020-01-26,"Image pack, Reviews, Featured snippet, People also ask",,Organic,Non-Branded
offer letter for part time employment,1,1,30,77,2.43,https://payfactors.com/include-part-time-job-offer-letter-sample-template-included/,14,0.43,34,0.25,420000000,"[25,100,25,25,100,100,50,50,25,25,25,50]",2020-01-17,"Image pack, Reviews",,Organic,Non-Branded
offer letter part time,1,1,30,76,0,https://payfactors.com/include-part-time-job-offer-letter-sample-template-included/,14,0.43,0,0.08,1710000000,"[100,20,20,20,40,100,20,40,20,20,20,20]",2019-12-22,Sitelinks,,Organic,Non-Branded
job offer letter at will employment,1,1,30,79,0,https://payfactors.com/will-job-offer-letters-write-free-template/,14,0.43,0,0,435000000,"[11,11,100,11,11,11,0,11,78,11,33,11]",2019-12-29,"Image pack, Sitelinks",,Organic,Non-Branded
base compensation,7,7,320,70,7.32,https://payfactors.com/base-salary-vs-total-cash-compensation/,12,0.37,93,0.02,34,"[82,82,67,100,100,82,100,82,82,82,67,67]",2020-01-06,"Image pack, Featured snippet",,Organic,Non-Branded
ltip vesting,2,2,90,20,0,https://blog.curocomp.com/long-term-incentive-plans,11,1.02,0,0.04,223000,"[33,33,33,33,67,33,33,33,33,33,33,100]",2021-06-06,People also ask,,Organic,Non-Branded
what is lti compensation,2,2,90,32,0,https://blog.curocomp.com/long-term-incentive-plans,11,1.02,0,0,811000,"[29,41,41,29,18,53,41,53,82,100,100,100]",2021-06-24,"Reviews, Featured snippet, People also ask",,Organic,Non-Branded
curo software,1,1,20,25,4.19,https://curocomp.com/,9,0.84,39,0.08,438000,"[78,11,11,22,11,22,11,44,11,11,11,100]",2021-06-29,"Sitelinks, Reviews, Video, Video Carousel, People also ask",,Organic,Branded
long term equity incentive plan,2,2,70,14,0,https://blog.curocomp.com/long-term-incentive-plans,9,0.84,0,0.04,42800000,"[50,50,50,50,50,50,50,100,50,100,50,50]",2021-06-09,People also ask,,Organic,Non-Branded
types of long term incentives,2,2,70,27,0,https://blog.curocomp.com/long-term-incentive-plans,9,0.84,0,0.14,233000000,"[14,14,100,14,0,14,14,14,0,71,100,29]",2021-06-11,"Featured snippet, People also ask",,Organic,Non-Branded
lti plan,2,2,70,15,1.67,https://blog.curocomp.com/long-term-incentive-plans,9,0.84,15,0.06,5430000,"[5,5,5,100,5,5,5,5,5,14,5,5]",2021-06-07,"Video Carousel, People also ask",,Organic,Non-Branded
pay equity audit,3,1,110,38,6.72,https://blog.curocomp.com/getting-started-performing-pay-equity-audits,9,0.84,66,0.57,59000000,"[19,19,67,52,67,52,52,52,43,52,81,100]",2021-06-29,"Image pack, Video, Featured snippet, Video Carousel, People also ask",,Organic,Non-Branded
pay equity analysis,9,10,320,39,7.54,https://blog.curocomp.com/getting-started-performing-pay-equity-audits,9,0.84,72,0.65,320000000,"[29,23,67,67,81,67,67,67,54,54,67,100]",2021-06-27,"Image pack, Video Carousel, People also ask",,Organic,Non-Branded
part time employment offer letter template,1,1,20,75,2.47,https://payfactors.com/include-part-time-job-offer-letter-sample-template-included/,9,0.28,23,0.65,46100000,"[11,11,100,11,11,11,11,11,11,44,100,44]",2020-01-12,"Sitelinks, Reviews, Featured snippet",,Organic,Non-Branded
base salary vs total compensation,4,4,140,77,0,https://payfactors.com/base-salary-vs-total-cash-compensation/,9,0.28,0,0,45200000,"[27,19,27,35,54,54,65,42,54,65,100,100]",2020-01-01,Featured snippet,,Organic,Non-Branded
job offer email,13,40,1000,74,6.24,https://payfactors.com/how-to-write-a-job-offer-letter-that-seals-the-deal-sample-templates-included/,9,0.28,56,0.01,2250000000,"[100,77,68,77,68,77,100,100,77,100,100,100]",2020-01-06,"Image pack, Sitelinks",,Organic,Non-Branded
budget salary increase 2019 20,3,0,90,75,0,https://info.payfactors.com/salary-budget-survey-2019,8,0.24,0,0,172000000,"[0,0,0,0,0,0,0,100,100,0,0,0]",2020-01-02,"Image pack, Reviews",,Organic,Non-Branded
controller job description,25,22,5400,68,12.46,https://payfactors.com/write-controller-job-description-guide/,8,0.24,100,0.16,132000000,"[100,82,67,82,82,82,82,100,82,82,100,82]",2020-02-01,"Featured snippet, Ads top, People also ask",,Organic,Non-Branded
dynamic job,6,4,140,62,0.28,https://payfactors.com/from-good-to-great-how-to-write-dynamic-job-descriptions/,7,0.21,1,0.09,404000000,"[100,100,67,52,67,67,67,52,100,81,67,52]",2020-01-07,"Sitelinks, Reviews",,Organic,Non-Branded
job offer letter sample,17,0,1900,76,1.39,https://payfactors.com/include-entry-level-job-offer-letter-sample-template-included/,7,0.21,10,0.22,3320000000,"[45,45,34,55,55,66,83,83,83,100,100,83]",2020-02-01,"Image pack, Sitelinks, Reviews, People also ask, FAQ",,Organic,Non-Branded
ltip definition,2,2,50,25,0,https://blog.curocomp.com/long-term-incentive-plans,6,0.56,0,0.05,184000,"[100,25,100,25,25,25,25,75,25,25,25,50]",2021-06-14,"Knowledge panel, People also ask",,Organic,Non-Branded
what is a long term incentive plan,2,2,50,15,1.85,https://blog.curocomp.com/long-term-incentive-plans,6,0.56,12,0.16,112000000,"[11,11,11,11,78,100,11,11,11,78,11,11]",2021-06-12,"Knowledge panel, Video Carousel, People also ask",,Organic,Non-Branded
long term incentive stock,3,3,70,13,0,https://blog.curocomp.com/long-term-incentive-plans,6,0.56,0,0,86700000,"[50,50,50,100,50,50,100,50,100,50,50,50]",2021-06-09,"Video, Featured snippet, People also ask",,Organic,Non-Branded
curo uk,4,5,90,35,0,https://curocomp.com/products/curo-gender-pay-gap-compliance-software/,6,0.56,0,0,697000,"[11,11,11,11,56,11,11,11,56,22,11,100]",2021-06-05,"Sitelinks, Reviews, Video Carousel, People also ask",,Organic,Branded
curopay,11,12,140,17,0,https://curocomp.com/products/curo-pay-equity-analysis-software/,6,0.56,0,0.01,98,"[67,81,81,100,67,52,43,43,67,81,81,52]",2021-06-03,"Sitelinks, Reviews, People also ask",,Organic,Branded
compensation vs salary,8,9,210,79,0,https://payfactors.com/base-salary-vs-total-cash-compensation/,6,0.18,0,0.01,213000000,"[81,65,54,81,65,81,100,65,100,81,81,81]",2020-01-09,Featured snippet,,Organic,Non-Branded
david googins,23,19,4400,68,0.54,https://payfactors.com/david-goggins-comp-coffee/,6,0.18,3,0.33,3400000,"[11,9,16,11,13,13,13,20,100,67,45,45]",2020-01-30,"Knowledge panel, Sitelinks, Reviews, Video, Video Carousel, People also ask",,Organic,Non-Branded
at will statement in offer letter,2,2,40,71,0,https://payfactors.com/will-job-offer-letters-write-free-template/,5,0.15,0,0.03,322000000,"[100,2,5,2,2,5,3,2,2,2,2,7]",2019-12-24,"Image pack, Sitelinks, Featured snippet",,Organic,Non-Branded
what is base compensation,6,7,110,73,0,https://payfactors.com/base-salary-vs-total-cash-compensation/,5,0.15,0,0,20,"[79,79,79,100,64,79,100,100,79,100,64,100]",2020-01-24,"Featured snippet, People also ask",,Organic,Non-Branded
compcon,9,7,170,70,0,https://payfactors.com/compcon-2019-comp-coffee-ep-22/,5,0.15,0,0,82,"[22,16,13,34,22,28,53,81,81,81,81,100]",2020-01-09,"Image pack, Sitelinks, Reviews",,Organic,Non-Branded
total compensation vs salary,11,0,110,76,0,https://payfactors.com/base-salary-vs-total-cash-compensation/,5,0.15,0,0,84000000,"[64,64,64,64,64,79,79,79,100,100,64,100]",2020-01-08,"Sitelinks, Featured snippet",,Organic,Non-Branded
job offer letter template,18,18,1900,78,1.87,https://payfactors.com/how-to-write-a-job-offer-letter-that-seals-the-deal-sample-templates-included/,5,0.15,10,0.38,584000000,"[34,45,34,55,55,66,66,66,66,100,100,100]",2019-12-24,"Sitelinks, Reviews, Featured snippet",,Organic,Non-Branded
offer letter sample,30,18,3600,67,1.45,https://payfactors.com/include-entry-level-job-offer-letter-sample-template-included/,5,0.15,7,0.23,1250000000,"[67,54,54,67,67,67,81,81,67,81,100,81]",2020-02-01,"Image pack, Sitelinks, Reviews, Ads top, People also ask, FAQ",,Organic,Non-Branded
offer letter,39,38,8100,74,5.27,https://payfactors.com/will-job-offer-letters-write-free-template/,5,0.15,29,0.33,1820000000,"[67,55,55,67,67,82,82,82,82,100,100,100]",2020-02-01,"Sitelinks, Featured snippet, Ads top, People also ask, FAQ",,Organic,Non-Branded
long term cash incentive plan,3,2,50,18,3.45,https://blog.curocomp.com/long-term-incentive-plans,4,0.37,15,0.17,43500000,"[44,11,11,11,11,100,11,22,11,100,11,11]",2021-06-11,"Featured snippet, People also ask",,Organic,Non-Branded
lti stock options,3,3,50,18,0,https://blog.curocomp.com/long-term-incentive-plans,4,0.37,0,0.01,689000,"[100,33,33,33,100,33,33,33,33,33,67,33]",2021-06-15,"Reviews, Featured snippet, People also ask",,Organic,Non-Branded
pay audit,5,8,90,34,3.84,https://blog.curocomp.com/getting-started-performing-pay-equity-audits,4,0.37,17,0.09,318000000,"[20,60,20,40,20,40,20,20,100,20,60,20]",2021-06-05,"Reviews, Ads bottom, People also ask",,Organic,Non-Branded
ltip tax,11,10,90,35,0,https://blog.curocomp.com/long-term-incentive-plans,4,0.37,0,0.01,253000,"[14,14,14,29,14,29,100,57,29,100,29,29]",2021-06-06,"Featured snippet, People also ask, FAQ",,Organic,Non-Branded
pay equity definition,13,15,480,30,2.5,https://curocomp.com/pay-equity-key-terms-glossary/,4,0.37,10,0.08,224000000,"[67,67,54,54,36,67,82,67,67,54,82,100]",2021-06-21,"Knowledge panel, Video Carousel, People also ask",,Organic,Non-Branded
what is cash compensation,3,4,50,76,0,https://payfactors.com/base-salary-vs-total-cash-compensation/,4,0.12,0,0.01,272000000,"[29,14,29,14,14,14,100,14,14,14,29,14]",2020-01-21,"Featured snippet, People also ask",,Organic,Non-Branded
payfactors reviews,3,3,50,78,2.37,https://payfactors.com/,4,0.12,10,0.12,351000,"[100,14,14,14,14,14,14,14,14,29,14,14]",2020-01-06,"Image pack, Sitelinks, Reviews",,Organic,Branded
what does base salary mean,13,13,480,79,0,https://payfactors.com/base-salary-vs-total-cash-compensation/,4,0.12,0,0,76100000,"[81,66,66,100,66,81,81,81,81,81,81,81]",2020-01-08,Featured snippet,,Organic,Non-Branded
employment offer letter,23,25,2900,81,1.88,https://payfactors.com/will-job-offer-letters-write-free-template/,4,0.12,8,0.33,277000000,"[66,55,43,55,55,66,66,66,82,100,100,82]",2020-01-03,"Sitelinks, Reviews, Featured snippet",,Organic,Non-Branded
goggins,32,40,6600,73,1.37,https://payfactors.com/david-goggins-comp-coffee/,4,0.12,6,0.01,5720000,"[24,30,100,82,67,55,45,45,45,67,82,67]",2020-01-31,"Knowledge panel, Sitelinks, Reviews, Video Carousel, People also ask",,Organic,Non-Branded
long term incentive grant,2,3,30,21,0,https://blog.curocomp.com/long-term-incentive-plans,3,0.28,0,0.01,78500000,"[0,0,0,0,100,100,100,100,100,100,100,100]",2021-06-26,"Featured snippet, People also ask",,Organic,Non-Branded
what are long term incentive plans,2,2,30,14,2.28,https://blog.curocomp.com/long-term-incentive-plans,3,0.28,8,0.19,108000000,"[0,0,0,25,75,25,0,25,100,25,50,75]",2021-06-29,"Knowledge panel, Top stories, Video, People also ask, FAQ",,Organic,Non-Branded
different types of long term incentive plans,2,3,30,23,0,https://blog.curocomp.com/long-term-incentive-plans,3,0.28,0,0.21,234000000,"[14,14,43,71,14,29,100,14,14,14,0,14]",2021-06-24,"Image pack, Featured snippet, Video Carousel, People also ask",,Organic,Non-Branded
gender pay gap reporting deadline 2018,2,7,30,29,0,https://blog.curocomp.com/uk-gender-pay-gap-reporting-deadline-coming-april-2020,3,0.28,0,0,7430000,"[0,0,100,0,0,0,0,0,50,0,50,0]",2021-06-24,People also ask,,Organic,Non-Branded
cash ltip,3,3,40,17,0,https://blog.curocomp.com/long-term-incentive-plans,3,0.28,0,0.14,1160000,"[14,14,14,29,14,100,14,14,14,14,14,71]",2021-06-17,People also ask,,Organic,Non-Branded
ltip calculator,3,3,40,16,0,https://blog.curocomp.com/long-term-incentive-plans,3,0.28,0,0.03,46500,"[11,11,22,11,11,11,56,44,100,11,11,33]",2021-06-17,People also ask,,Organic,Non-Branded
compensation software solutions,5,7,70,38,36.53,https://curocomp.com/,3,0.28,127,0.39,142000000,"[100,20,20,20,100,20,20,20,80,40,40,40]",2021-06-08,"Sitelinks, Reviews, People also ask, FAQ",,Organic,Non-Branded
long term incentive plan matrix,6,5,70,21,0,https://blog.curocomp.com/long-term-incentive-plans,3,0.28,0,0.21,31500000,"[14,14,14,14,14,100,43,14,43,29,14,14]",2021-06-09,"Image pack, People also ask",,Organic,Non-Branded
gender pay gap uk law,11,15,70,50,0,https://blog.curocomp.com/10-uk-gender-pay-gap-facts-to-know-gpg-reporting,3,0.28,0,0,53800000,"[0,100,0,40,0,20,20,100,100,0,20,100]",2021-06-09,"Sitelinks, Featured snippet, People also ask",,Organic,Non-Branded
offer letter template hourly,3,3,40,71,0,https://payfactors.com/include-part-time-job-offer-letter-sample-template-included/,3,0.09,0,0.1,5210000,"[20,20,20,20,20,0,20,20,40,60,100,100]",2020-01-08,"Image pack, Sitelinks",,Organic,Non-Branded
hourly rate letter,5,5,70,71,0,https://payfactors.com/include-part-time-job-offer-letter-sample-template-included/,3,0.09,0,0,21300000,"[20,20,20,20,100,20,20,100,20,20,20,40]",2020-01-06,"Image pack, Sitelinks",,Organic,Non-Branded
cash salary meaning,6,0,70,79,0,https://payfactors.com/base-salary-vs-total-cash-compensation/,3,0.09,0,0,49700000,"[100,0,14,0,0,29,0,0,0,14,0,0]",2020-01-08,Featured snippet,,Organic,Non-Branded
how to write a job offer letter template,11,11,70,78,0,https://payfactors.com/job-offer-letters-free-sample-templates/,3,0.09,0,0.14,195000000,"[0,0,0,0,0,0,100,0,60,20,0,20]",2019-12-23,"Image pack, Sitelinks, Reviews, Featured snippet",,Organic,Non-Branded
bj fogg,20,20,1300,66,1.23,https://payfactors.com/dr-bj-fogg-compcon-keynote/,3,0.09,4,0.01,891000,"[68,68,53,68,68,68,68,68,68,68,100,100]",2020-01-13,"Knowledge panel, Top stories, Sitelinks, Reviews",,Organic,Non-Branded
david goggins podcast,26,29,2400,77,1.2,https://payfactors.com/david-goggins-comp-coffee/,3,0.09,4,0.04,317000,"[16,20,100,100,55,55,43,43,43,55,55,43]",2020-01-11,"Image pack, Sitelinks, Reviews, Video",,Organic,Non-Branded
navigant consulting,31,0,5400,73,2.52,https://payfactors.com/navigant-consulting-tech-simplifies-compensation/,3,0.09,9,0.02,4500000,"[81,67,44,67,67,67,54,54,54,54,100,67]",2020-01-30,"Knowledge panel, Image pack, Sitelinks, Reviews, Video, People also ask, FAQ",,Organic,Non-Branded
job offer letter,33,35,5400,77,5.29,https://payfactors.com/will-job-offer-letters-write-free-template/,3,0.09,19,0.26,1480000000,"[67,54,44,54,54,67,67,67,67,100,100,81]",2020-01-30,"Sitelinks, Featured snippet, Ads top, People also ask, FAQ",,Organic,Non-Branded
offer letter template,35,24,4400,75,1.94,https://payfactors.com/job-offer-letters-free-sample-templates/,3,0.09,5,0.4,240000000,"[55,44,36,55,55,67,67,67,67,100,100,82]",2020-01-31,"Sitelinks, Reviews, Featured snippet, Video Carousel, People also ask, FAQ",,Organic,Non-Branded
offer letter template,36,0,4400,75,1.94,https://payfactors.com/will-job-offer-letters-write-free-template/,3,0.09,5,0.4,240000000,"[55,44,36,55,55,67,67,67,67,100,100,82]",2020-01-31,"Sitelinks, Reviews, Featured snippet, Video Carousel, People also ask, FAQ",,Organic,Non-Branded
curo software,2,0,20,25,4.19,https://curocomp.com/products/curo-compensation-management-software/,2,0.18,10,0.08,438000,"[78,11,11,22,11,22,11,44,11,11,11,100]",2021-06-29,"Sitelinks, Reviews, Video, Video Carousel, People also ask",,Organic,Branded
ltip program,2,2,20,18,2.07,https://blog.curocomp.com/long-term-incentive-plans,2,0.18,5,0.07,247000,"[71,100,29,14,14,29,14,14,14,57,14,14]",2021-06-29,People also ask,,Organic,Non-Branded
long term incentive pay,3,2,30,19,0,https://blog.curocomp.com/long-term-incentive-plans,2,0.18,0,0.03,120000000,"[25,50,25,100,100,25,25,25,25,25,25,25]",2021-06-26,"Featured snippet, Video Carousel, People also ask",,Organic,Non-Branded
my curo login,3,3,30,9,0,https://customersupport.curocomp.com/portal/en/signin,2,0.18,0,0,3400000,"[29,0,0,0,0,57,43,14,14,0,100,29]",2021-06-26,"Reviews, Video",,Organic,Branded
curo management solutions,3,4,30,15,0,https://curocomp.com/,2,0.18,0,0,294000,"[20,80,0,20,80,100,20,20,20,0,20,20]",2021-06-23,"Reviews, Video",,Organic,Branded
worldatwork total rewards 2019,4,5,30,14,0,https://blog.curocomp.com/partner-news/worldatwork-2019-total-rewards-conference-exhibition,2,0.18,0,0.14,470000,"[100,0,50,25,0,0,50,0,0,0,25,25]",2021-06-29,Video Carousel,,Organic,Non-Branded
long term cash incentive,4,3,30,17,0,https://blog.curocomp.com/long-term-incentive-plans,2,0.18,0,0.21,74600000,"[0,0,0,0,71,14,100,14,29,57,14,14]",2021-06-26,"Featured snippet, People also ask",,Organic,Non-Branded
short term incentive vs long term incentive,4,7,40,23,0,https://blog.curocomp.com/long-term-incentive-plans,2,0.18,0,0.04,111000000,"[33,11,11,11,78,100,11,22,11,22,33,33]",2021-06-20,"Image pack, Featured snippet, Video Carousel, People also ask",,Organic,Non-Branded
short term and long term incentive plans,5,9,50,16,0,https://blog.curocomp.com/long-term-incentive-plans,2,0.18,0,0.43,78700000,"[22,11,11,100,78,33,44,11,33,56,11,11]",2021-06-16,"Featured snippet, Video Carousel, People also ask",,Organic,Non-Branded
gender pay gap 2019 deadline,6,5,50,31,0,https://blog.curocomp.com/uk-gender-pay-gap-reporting-deadline-coming-april-2020,2,0.18,0,0,5890000,"[80,20,40,0,100,20,20,0,0,0,0,0]",2021-06-13,"Featured snippet, People also ask",,Organic,Non-Branded
